occ_code,occ_title,major_code,automation_prob,score_source,education_req,emp_cagr,emp_trend_risk,ai_exposure_score,ai_exposure_raw,wage_cagr,real_wage_growth,wage_stagnation_risk,risk_index
13-2011,Accountants and Auditors,13,0.94,actual,Bachelor's degree,0.02022502435083906,0.245125348189415,0.7991666666666666,4.196666666666666,0.026645240939768167,-0.008354759060231837,0.7927170868347339,0.7437242993297598
13-2031,Budget Analysts,13,0.94,actual,Bachelor's degree,-0.016034976015498525,0.66991643454039,0.7725,4.09,0.027264421918716808,-0.007735578081283195,0.7745098039215687,0.8192847574963134
13-2041,Credit Analysts,13,0.98,actual,Bachelor's degree,-0.021218353093432563,0.7200557103064067,0.7983333333333333,4.193333333333333,0.029463295202134976,-0.0055367047978650274,0.7058823529411764,0.8414768283357911
13-2051,Financial and Investment Analysts,13,0.23,actual,Bachelor's degree,0.024195279638844713,0.21309192200557103,0.5,,0.02099471912131401,-0.014005280878685994,0.9033613445378151,0.3951225860817865
13-2052,Personal Financial Advisors,13,0.58,actual,Bachelor's degree,0.04183466088442067,0.1044568245125348,0.8483333333333334,4.3933333333333335,0.0366569813166977,0.0016569813166976977,0.43137254901960786,0.5296805805887815
13-2053,Insurance Underwriters,13,0.99,actual,Bachelor's degree,0.013401520340925677,0.33286908077994426,0.7825,4.13,0.028667866926261665,-0.0063321330737383386,0.7324929971988796,0.768072765735821
13-2054,Financial Risk Specialists,13,0.57,imputed,,,0.5,0.5,,,,0.5,0.5279999999999999
13-2061,Financial Examiners,13,0.17,actual,Bachelor's degree,0.021140436119325257,0.23816155988857934,0.7933333333333332,4.173333333333333,0.023478887844432306,-0.011521112155567698,0.8683473389355743,0.4442177461513853
13-2071,Credit Counselors,13,0.04,actual,Bachelor's degree,-0.03540300527299878,0.8203342618384402,0.7491666666666666,3.9966666666666666,0.019955384335878845,-0.015044615664121158,0.9159663865546218,0.5047534770175479
13-2072,Loan Officers,13,0.98,actual,Bachelor's degree,-0.015002899104761491,0.6559888579387186,0.7775000000000001,4.11,0.02029868977066074,-0.014701310229339265,0.9089635854341737,0.8539173094028698
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13,0.93,actual,Bachelor's degree,0.005309464910281614,0.4317548746518106,0.7533333333333334,4.013333333333334,0.02213470117938554,-0.012865298820614463,0.8865546218487395,0.7796675015410064
13-2082,Tax Preparers,13,0.99,actual,High school diploma or equivalent,0.01673838712719644,0.28551532033426186,0.7808333333333335,4.123333333333334,0.03822107868532387,0.0032210786853238693,0.3753501400560224,0.7046139184085891
13-2099,"Financial Specialists, All Other",13,0.33,actual,Bachelor's degree,0.003697688213745831,0.4428969359331476,0.7750000000000001,4.1000000000000005,0.027508972522675146,-0.0074910274773248575,0.7647058823529411,0.5290352695395708
13-2099,"Financial Specialists, All Other",13,0.33,actual,Bachelor's degree,0.003697688213745831,0.4428969359331476,0.8483333333333334,4.3933333333333335,0.027508972522675146,-0.0074910274773248575,0.7647058823529411,0.5473686028729041
15-1211,Computer Systems Analysts,15,0.1285,imputed,,,0.5,0.7641666666666667,4.056666666666667,,,0.5,0.41744166666666666
15-1211,Computer Systems Analysts,15,0.1285,imputed,,,0.5,0.8216666666666665,4.286666666666666,,,0.5,0.4318166666666667
15-1212,Information Security Analysts,15,0.1285,imputed,,,0.5,0.7666666666666666,4.066666666666666,,,0.5,0.41806666666666664
15-1221,Computer and Information Research Scientists,15,0.1285,imputed,,,0.5,0.8541666666666667,4.416666666666667,,,0.5,0.43994166666666673
15-1231,Computer Network Support Specialists,15,0.1285,imputed,,,0.5,0.6575000000000001,3.6300000000000003,,,0.5,0.39077500000000004
15-1232,Computer User Support Specialists,15,0.1285,imputed,,,0.5,0.7125,3.85,,,0.5,0.404525
15-1241,Computer Network Architects,15,0.1285,imputed,,,0.5,0.7208333333333333,3.8833333333333333,,,0.5,0.40660833333333335
15-1241,Computer Network Architects,15,0.1285,imputed,,,0.5,0.735,3.94,,,0.5,0.41015
15-1242,Database Administrators,15,0.1285,imputed,,,0.5,0.7108333333333333,3.8433333333333333,,,0.5,0.40410833333333335
15-1243,Database Architects,15,0.1285,imputed,,,0.5,0.8216666666666665,4.286666666666666,,,0.5,0.4318166666666667
15-1243,Database Architects,15,0.1285,imputed,,,0.5,0.7525000000000002,4.010000000000001,,,0.5,0.4145250000000001
15-1244,Network and Computer Systems Administrators,15,0.1285,imputed,,,0.5,0.6675,3.67,,,0.5,0.393275
15-1251,Computer Programmers,15,0.1285,imputed,,,0.5,0.8274999999999999,4.31,,,0.5,0.433275
15-1252,Software Developers,15,0.1285,imputed,,,0.5,0.78,4.12,,,0.5,0.42140000000000005
15-1253,Software Quality Assurance Analysts and Testers,15,0.1285,imputed,,,0.5,0.8083333333333333,4.233333333333333,,,0.5,0.4284833333333334
15-1254,Web Developers,15,0.1285,imputed,,,0.5,0.6774999999999999,3.7099999999999995,,,0.5,0.395775
15-1255,Web and Digital Interface Designers,15,0.1285,imputed,,,0.5,0.6916666666666668,3.766666666666667,,,0.5,0.3993166666666667
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.6866666666666666,3.7466666666666666,,,0.5,0.3980666666666667
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.8233333333333335,4.293333333333334,,,0.5,0.4322333333333334
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.7708333333333333,4.083333333333333,,,0.5,0.41910833333333336
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.8075000000000001,4.23,,,0.5,0.428275
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.7341666666666665,3.936666666666666,,,0.5,0.40994166666666665
15-1299,"Computer Occupations, All Other",15,0.1285,imputed,,,0.5,0.7908333333333333,4.163333333333333,,,0.5,0.42410833333333336
15-2011,Actuaries,15,0.21,actual,Bachelor's degree,0.03643539987636846,0.12952646239554322,0.8125,4.25,0.028456702397515743,-0.00654329760248426,0.7366946778711485,0.42353449415978095
15-2021,Mathematicians,15,0.047,actual,Master's degree,-0.033670605817034294,0.8050139275766017,0.7666666666666666,4.066666666666666,0.030322701910661776,-0.004677298089338228,0.6708683473389356,0.4720997042828273
