occ_code,occ_title,major_code,major_group_title,risk_index,automation_prob,ai_exposure_score,emp_trend_risk,wage_stagnation_risk,risk_tier,score_source,education_req,national_employment
11-9041,Architectural and Engineering Managers,11,Management,0.3667,0.017,0.8208,0.2228,0.7339,Medium,actual,Bachelor's degree,220260
11-9051,Food Service Managers,11,Management,0.3228,0.083,0.5667,0.3552,0.5126,Medium,actual,High school diploma or equivalent,238430
11-9071,Gambling Managers,11,Management,0.368,0.091,0.6875,0.2242,0.7661,Medium,actual,High school diploma or equivalent,5030
11-9072,"Entertainment and Recreation Managers, Except Gambling",11,Management,0.3387,0.03,0.6067,0.5,0.5,Medium,imputed,,37980
11-9081,Lodging Managers,11,Management,0.2855,0.0039,0.6183,0.2465,0.5336,Low,actual,High school diploma or equivalent,42620
11-9111,Medical and Health Services Managers,11,Management,0.3079,0.0073,0.81,0.0251,0.6499,Medium,actual,Bachelor's degree,597080
11-9121,Natural Sciences Managers,11,Management,0.2815,0.018,0.84,0.0097,0.416,Low,actual,Bachelor's degree,108690
11-9121,Natural Sciences Managers,11,Management,0.2478,0.018,0.705,0.0097,0.416,Low,actual,Bachelor's degree,108690
11-9121,Natural Sciences Managers,11,Management,0.2678,0.018,0.785,0.0097,0.416,Low,actual,Bachelor's degree,108690
11-9131,Postmasters and Mail Superintendents,11,Management,0.6536,0.75,0.7017,0.4875,0.5378,Medium,actual,High school diploma or equivalent,13810
11-9141,"Property, Real Estate, and Community Association Managers",11,Management,0.6201,0.81,0.6267,0.0334,0.8852,Medium,actual,High school diploma or equivalent,311180
11-9151,Social and Community Service Managers,11,Management,0.2796,0.0067,0.6617,0.0724,0.6471,Low,actual,Bachelor's degree,209330
11-9161,Emergency Management Directors,11,Management,0.2937,0.003,0.735,0.0627,0.6415,Low,actual,Bachelor's degree,13500
11-9171,Funeral Home Managers,11,Management,0.3672,0.03,0.7208,0.5,0.5,Medium,imputed,,13910
11-9179,"Personal Service Managers, All Other",11,Management,0.3301,0.03,0.5725,0.5,0.5,Medium,imputed,,10450
11-9179,"Personal Service Managers, All Other",11,Management,0.346,0.03,0.6358,0.5,0.5,Medium,imputed,,10450
11-9199,"Managers, All Other",11,Management,0.3646,0.25,0.8158,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
11-9199,"Managers, All Other",11,Management,0.3637,0.25,0.8125,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
11-9199,"Managers, All Other",11,Management,0.3496,0.25,0.7558,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
11-9199,"Managers, All Other",11,Management,0.3427,0.25,0.7283,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
11-9199,"Managers, All Other",11,Management,0.3323,0.25,0.6867,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
11-9199,"Managers, All Other",11,Management,0.3527,0.25,0.7683,0.1003,0.2703,Medium,actual,Bachelor's degree,622190
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13,Business and Financial Operations,0.3455,0.24,0.4092,0.7256,0.014,Medium,actual,Bachelor's degree,12620
13-1031,"Claims Adjusters, Examiners, and Investigators",13,Business and Financial Operations,0.7683,0.98,0.7867,0.2827,0.8207,High,actual,High school diploma or equivalent,324230
13-1032,"Insurance Appraisers, Auto Damage",13,Business and Financial Operations,0.8657,0.98,0.755,0.8343,0.7871,High,actual,Postsecondary nondegree award,11560
13-1041,Compliance Officers,13,Business and Financial Operations,0.3614,0.08,0.815,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3473,0.08,0.7583,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3554,0.08,0.7908,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3202,0.08,0.65,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3721,0.08,0.8575,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3298,0.08,0.6883,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1041,Compliance Officers,13,Business and Financial Operations,0.3485,0.08,0.7633,0.0822,0.7283,Medium,actual,Bachelor's degree,417070
13-1051,Cost Estimators,13,Business and Financial Operations,0.6108,0.57,0.7892,0.3942,0.7115,Medium,actual,Bachelor's degree,224220
13-1071,Human Resources Specialists,13,Business and Financial Operations,0.5142,0.57,0.7008,0.032,0.6975,Medium,imputed,,912430
13-1074,Farm Labor Contractors,13,Business and Financial Operations,0.6344,0.97,0.3858,0.0292,0.9608,Medium,actual,No formal educational credential,310
13-1075,Labor Relations Specialists,13,Business and Financial Operations,0.5528,0.57,0.635,0.7368,0.1246,Medium,imputed,,64810
13-1081,Logisticians,13,Business and Financial Operations,0.3352,0.012,0.7325,0.0432,0.9244,Medium,actual,Bachelor's degree,251040
13-1081,Logisticians,13,Business and Financial Operations,0.3344,0.012,0.7292,0.0432,0.9244,Medium,actual,Bachelor's degree,251040
13-1081,Logisticians,13,Business and Financial Operations,0.3506,0.012,0.7942,0.0432,0.9244,Medium,actual,Bachelor's degree,251040
13-1082,Project Management Specialists,13,Business and Financial Operations,0.528,0.57,0.5,0.5,0.5,Medium,imputed,,1066670
13-1111,Management Analysts,13,Business and Financial Operations,0.3921,0.13,0.8,0.1142,0.7815,Medium,actual,Bachelor's degree,898280
13-1121,"Meeting, Convention, and Event Planners",13,Business and Financial Operations,0.3062,0.037,0.675,0.124,0.6527,Medium,actual,Bachelor's degree,142860
13-1131,Fundraisers,13,Business and Financial Operations,0.5036,0.57,0.71,0.0474,0.591,Medium,imputed,,111040
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13,Business and Financial Operations,0.486,0.47,0.7342,0.0975,0.6331,Medium,actual,Bachelor's degree,112380
13-1151,Training and Development Specialists,13,Business and Financial Operations,0.3131,0.014,0.6725,0.0265,0.8936,Medium,actual,Bachelor's degree,458300
13-1161,Market Research Analysts and Marketing Specialists,13,Business and Financial Operations,0.5539,0.61,0.8575,0.0669,0.5476,Medium,actual,Bachelor's degree,899580
13-1161,Market Research Analysts and Marketing Specialists,13,Business and Financial Operations,0.5387,0.61,0.7967,0.0669,0.5476,Medium,actual,Bachelor's degree,899580
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.4801,0.23,0.7617,0.4443,0.7255,Medium,actual,Bachelor's degree,1087090
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.4807,0.23,0.7642,0.4443,0.7255,Medium,actual,Bachelor's degree,1087090
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.4591,0.23,0.6775,0.4443,0.7255,Medium,actual,Bachelor's degree,1087090
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.4782,0.23,0.7542,0.4443,0.7255,Medium,actual,Bachelor's degree,1087090
13-2011,Accountants and Auditors,13,Business and Financial Operations,0.7437,0.94,0.7992,0.2451,0.7927,High,actual,Bachelor's degree,1449500
13-2031,Budget Analysts,13,Business and Financial Operations,0.8193,0.94,0.7725,0.6699,0.7745,High,actual,Bachelor's degree,47160
13-2041,Credit Analysts,13,Business and Financial Operations,0.8415,0.98,0.7983,0.7201,0.7059,High,actual,Bachelor's degree,64390
13-2051,Financial and Investment Analysts,13,Business and Financial Operations,0.3951,0.23,0.5,0.2131,0.9034,Medium,actual,Bachelor's degree,361980
13-2052,Personal Financial Advisors,13,Business and Financial Operations,0.5297,0.58,0.8483,0.1045,0.4314,Medium,actual,Bachelor's degree,266800
13-2053,Insurance Underwriters,13,Business and Financial Operations,0.7681,0.99,0.7825,0.3329,0.7325,High,actual,Bachelor's degree,105420
13-2054,Financial Risk Specialists,13,Business and Financial Operations,0.528,0.57,0.5,0.5,0.5,Medium,imputed,,63850
13-2061,Financial Examiners,13,Business and Financial Operations,0.4442,0.17,0.7933,0.2382,0.8683,Medium,actual,Bachelor's degree,67830
13-2071,Credit Counselors,13,Business and Financial Operations,0.5048,0.04,0.7492,0.8203,0.916,Medium,actual,Bachelor's degree,27770
13-2072,Loan Officers,13,Business and Financial Operations,0.8539,0.98,0.7775,0.656,0.909,High,actual,Bachelor's degree,274330
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13,Business and Financial Operations,0.7797,0.93,0.7533,0.4318,0.8866,High,actual,Bachelor's degree,56610
13-2082,Tax Preparers,13,Business and Financial Operations,0.7046,0.99,0.7808,0.2855,0.3754,High,actual,High school diploma or equivalent,76480
13-2099,"Financial Specialists, All Other",13,Business and Financial Operations,0.529,0.33,0.775,0.4429,0.7647,Medium,actual,Bachelor's degree,132130
13-2099,"Financial Specialists, All Other",13,Business and Financial Operations,0.5474,0.33,0.8483,0.4429,0.7647,Medium,actual,Bachelor's degree,132130
15-1211,Computer Systems Analysts,15,Computer and Mathematical,0.4174,0.1285,0.7642,0.5,0.5,Medium,imputed,,519530
15-1211,Computer Systems Analysts,15,Computer and Mathematical,0.4318,0.1285,0.8217,0.5,0.5,Medium,imputed,,519530
15-1212,Information Security Analysts,15,Computer and Mathematical,0.4181,0.1285,0.7667,0.5,0.5,Medium,imputed,,190650
15-1221,Computer and Information Research Scientists,15,Computer and Mathematical,0.4399,0.1285,0.8542,0.5,0.5,Medium,imputed,,37200
15-1231,Computer Network Support Specialists,15,Computer and Mathematical,0.3908,0.1285,0.6575,0.5,0.5,Medium,imputed,,146190
15-1232,Computer User Support Specialists,15,Computer and Mathematical,0.4045,0.1285,0.7125,0.5,0.5,Medium,imputed,,717190
15-1241,Computer Network Architects,15,Computer and Mathematical,0.4066,0.1285,0.7208,0.5,0.5,Medium,imputed,,179740
15-1241,Computer Network Architects,15,Computer and Mathematical,0.4102,0.1285,0.735,0.5,0.5,Medium,imputed,,179740
15-1242,Database Administrators,15,Computer and Mathematical,0.4041,0.1285,0.7108,0.5,0.5,Medium,imputed,,69990
15-1243,Database Architects,15,Computer and Mathematical,0.4318,0.1285,0.8217,0.5,0.5,Medium,imputed,,67140
15-1243,Database Architects,15,Computer and Mathematical,0.4145,0.1285,0.7525,0.5,0.5,Medium,imputed,,67140
15-1244,Network and Computer Systems Administrators,15,Computer and Mathematical,0.3933,0.1285,0.6675,0.5,0.5,Medium,imputed,,314340
15-1251,Computer Programmers,15,Computer and Mathematical,0.4333,0.1285,0.8275,0.5,0.5,Medium,imputed,,92230
15-1252,Software Developers,15,Computer and Mathematical,0.4214,0.1285,0.78,0.5,0.5,Medium,imputed,,1687890
15-1253,Software Quality Assurance Analysts and Testers,15,Computer and Mathematical,0.4285,0.1285,0.8083,0.5,0.5,Medium,imputed,,186740
15-1254,Web Developers,15,Computer and Mathematical,0.3958,0.1285,0.6775,0.5,0.5,Medium,imputed,,70190
15-1255,Web and Digital Interface Designers,15,Computer and Mathematical,0.3993,0.1285,0.6917,0.5,0.5,Medium,imputed,,113330
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.3981,0.1285,0.6867,0.5,0.5,Medium,imputed,,435370
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.4322,0.1285,0.8233,0.5,0.5,Medium,imputed,,435370
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.4191,0.1285,0.7708,0.5,0.5,Medium,imputed,,435370
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.4283,0.1285,0.8075,0.5,0.5,Medium,imputed,,435370
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.4099,0.1285,0.7342,0.5,0.5,Medium,imputed,,435370
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.4241,0.1285,0.7908,0.5,0.5,Medium,imputed,,435370
15-2011,Actuaries,15,Computer and Mathematical,0.4235,0.21,0.8125,0.1295,0.7367,Medium,actual,Bachelor's degree,26670
15-2021,Mathematicians,15,Computer and Mathematical,0.4721,0.047,0.7667,0.805,0.6709,Medium,actual,Master's degree,2030
15-2031,Operations Research Analysts,15,Computer and Mathematical,0.4397,0.035,0.7983,0.4248,0.9412,Medium,actual,Bachelor's degree,108510
15-2041,Statisticians,15,Computer and Mathematical,0.5767,0.22,0.9033,0.8565,0.6106,Medium,actual,Master's degree,29030
15-2041,Statisticians,15,Computer and Mathematical,0.5444,0.22,0.7742,0.8565,0.6106,Medium,actual,Master's degree,29030
15-2051,Data Scientists,15,Computer and Mathematical,0.432,0.1285,0.8225,0.5,0.5,Medium,imputed,,262440
15-2051,Data Scientists,15,Computer and Mathematical,0.4343,0.1285,0.8317,0.5,0.5,Medium,imputed,,262440
15-2099,"Mathematical Science Occupations, All Other",15,Computer and Mathematical,0.4426,0.1285,0.865,0.5,0.5,Medium,imputed,,3720
17-1011,"Architects, Except Landscape and Naval",17,Architecture and Engineering,0.4038,0.018,0.7383,0.4499,0.8137,Medium,actual,Bachelor's degree,106770
17-1012,Landscape Architects,17,Architecture and Engineering,0.3597,0.045,0.5933,0.4081,0.7451,Medium,actual,Bachelor's degree,19600
17-1021,Cartographers and Photogrammetrists,17,Architecture and Engineering,0.6492,0.88,0.7783,0.1253,0.5168,Medium,actual,Bachelor's degree,14260
17-1022,Surveyors,17,Architecture and Engineering,0.5369,0.38,0.855,0.2925,0.7507,Medium,actual,Bachelor's degree,50830
17-1022,Surveyors,17,Architecture and Engineering,0.5389,0.38,0.8633,0.2925,0.7507,Medium,actual,Bachelor's degree,50830
17-2011,Aerospace Engineers,17,Architecture and Engineering,0.4146,0.017,0.8658,0.3969,0.7465,Medium,actual,Bachelor's degree,67710
17-2021,Agricultural Engineers,17,Architecture and Engineering,0.562,0.49,0.8517,0.6393,0.1681,Medium,actual,Bachelor's degree,1480
17-2031,Bioengineers and Biomedical Engineers,17,Architecture and Engineering,0.3597,0.037,0.83,0.1713,0.6877,Medium,actual,Bachelor's degree,23480
17-2041,Chemical Engineers,17,Architecture and Engineering,0.5219,0.017,0.7692,0.9123,0.9356,Medium,actual,Bachelor's degree,21070
17-2051,Civil Engineers,17,Architecture and Engineering,0.3612,0.019,0.7183,0.1978,0.8964,Medium,actual,Bachelor's degree,367840
17-2051,Civil Engineers,17,Architecture and Engineering,0.3758,0.019,0.7767,0.1978,0.8964,Medium,actual,Bachelor's degree,367840
17-2051,Civil Engineers,17,Architecture and Engineering,0.3695,0.019,0.7517,0.1978,0.8964,Medium,actual,Bachelor's degree,367840
17-2061,Computer Hardware Engineers,17,Architecture and Engineering,0.3424,0.22,0.8108,0.149,0.1457,Medium,actual,Bachelor's degree,76660
17-2071,Electrical Engineers,17,Architecture and Engineering,0.4227,0.1,0.8158,0.3844,0.6793,Medium,actual,Bachelor's degree,198750
17-2072,"Electronics Engineers, Except Computer",17,Architecture and Engineering,0.4496,0.025,0.7658,0.8635,0.5028,Medium,actual,Bachelor's degree,96900
17-2072,"Electronics Engineers, Except Computer",17,Architecture and Engineering,0.4304,0.025,0.6892,0.8635,0.5028,Medium,actual,Bachelor's degree,96900
17-2081,Environmental Engineers,17,Architecture and Engineering,0.4753,0.018,0.7417,0.8649,0.7311,Medium,actual,Bachelor's degree,38340
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17,Architecture and Engineering,0.4214,0.028,0.7483,0.766,0.4664,Medium,actual,Bachelor's degree,21450
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17,Architecture and Engineering,0.4154,0.028,0.7242,0.766,0.4664,Medium,actual,Bachelor's degree,21450
17-2112,Industrial Engineers,17,Architecture and Engineering,0.3305,0.029,0.6975,0.1198,0.8039,Medium,actual,Bachelor's degree,365740
17-2112,Industrial Engineers,17,Architecture and Engineering,0.3447,0.029,0.7542,0.1198,0.8039,Medium,actual,Bachelor's degree,365740
17-2112,Industrial Engineers,17,Architecture and Engineering,0.3697,0.029,0.8542,0.1198,0.8039,Medium,actual,Bachelor's degree,365740
17-2112,Industrial Engineers,17,Architecture and Engineering,0.352,0.029,0.7833,0.1198,0.8039,Medium,actual,Bachelor's degree,365740
17-2121,Marine Engineers and Naval Architects,17,Architecture and Engineering,0.4478,0.01,0.7408,0.8579,0.5798,Medium,actual,Bachelor's degree,8250
17-2131,Materials Engineers,17,Architecture and Engineering,0.4466,0.021,0.7858,0.7298,0.6387,Medium,actual,Bachelor's degree,22770
17-2141,Mechanical Engineers,17,Architecture and Engineering,0.3852,0.011,0.6792,0.5195,0.7143,Medium,actual,Bachelor's degree,296810
17-2141,Mechanical Engineers,17,Architecture and Engineering,0.4086,0.011,0.7725,0.5195,0.7143,Medium,actual,Bachelor's degree,296810
17-2141,Mechanical Engineers,17,Architecture and Engineering,0.4209,0.011,0.8217,0.5195,0.7143,Medium,actual,Bachelor's degree,296810
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17,Architecture and Engineering,0.4709,0.14,0.8117,0.4025,0.8768,Medium,actual,Bachelor's degree,6080
17-2161,Nuclear Engineers,17,Architecture and Engineering,0.4162,0.07,0.7942,0.5543,0.5252,Medium,actual,Bachelor's degree,15280
17-2171,Petroleum Engineers,17,Architecture and Engineering,0.6027,0.16,0.7917,0.9568,0.9958,Medium,actual,Bachelor's degree,18060
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3602,0.014,0.7983,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3338,0.014,0.6925,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.345,0.014,0.7375,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3598,0.014,0.7967,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3584,0.014,0.7908,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3642,0.014,0.8142,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3421,0.014,0.7258,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.3296,0.014,0.6758,0.3593,0.5546,Medium,actual,Bachelor's degree,154070
17-3011,Architectural and Civil Drafters,17,Architecture and Engineering,0.541,0.52,0.6483,0.3914,0.6176,Medium,actual,Associate's degree,103700
17-3012,Electrical and Electronics Drafters,17,Architecture and Engineering,0.744,0.81,0.6617,0.8663,0.542,High,actual,Associate's degree,17920
17-3013,Mechanical Drafters,17,Architecture and Engineering,0.6739,0.68,0.6117,0.8691,0.5014,Medium,actual,Associate's degree,39960
17-3019,"Drafters, All Other",17,Architecture and Engineering,0.3576,0.12,0.5,0.4986,0.5658,Medium,imputed,,14470
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17,Architecture and Engineering,0.4887,0.48,0.7667,0.3022,0.2969,Medium,actual,Associate's degree,11280
17-3022,Civil Engineering Technologists and Technicians,17,Architecture and Engineering,0.6705,0.75,0.7225,0.5418,0.5434,Medium,actual,Associate's degree,68520
17-3023,Electrical and Electronic Engineering Technologists and Technicians,17,Architecture and Engineering,0.7766,0.84,0.705,0.8398,0.6429,High,actual,Associate's degree,95130
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17,Architecture and Engineering,0.6292,0.81,0.71,0.2521,0.5154,Medium,actual,Associate's degree,15520
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17,Architecture and Engineering,0.6157,0.81,0.6558,0.2521,0.5154,Medium,actual,Associate's degree,15520
17-3025,Environmental Engineering Technologists and Technicians,17,Architecture and Engineering,0.5681,0.25,0.6583,0.8788,0.8515,Medium,actual,Associate's degree,12190
17-3026,Industrial Engineering Technologists and Technicians,17,Architecture and Engineering,0.3379,0.03,0.61,0.2702,0.7955,Medium,actual,Associate's degree,75570
17-3026,Industrial Engineering Technologists and Technicians,17,Architecture and Engineering,0.3885,0.03,0.8125,0.2702,0.7955,Medium,actual,Associate's degree,75570
17-3027,Mechanical Engineering Technologists and Technicians,17,Architecture and Engineering,0.5301,0.38,0.7533,0.6978,0.3347,Medium,actual,Associate's degree,36190
17-3027,Mechanical Engineering Technologists and Technicians,17,Architecture and Engineering,0.5238,0.38,0.7283,0.6978,0.3347,Medium,actual,Associate's degree,36190
17-3028,Calibration Technologists and Technicians,17,Architecture and Engineering,0.348,0.12,0.5,0.5,0.5,Medium,imputed,,16540
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17,Architecture and Engineering,0.5762,0.24,0.8225,0.8677,0.6737,Medium,actual,Associate's degree,59930
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17,Architecture and Engineering,0.5448,0.24,0.6967,0.8677,0.6737,Medium,actual,Associate's degree,59930
17-3031,Surveying and Mapping Technicians,17,Architecture and Engineering,0.7369,0.96,0.7175,0.312,0.7409,High,actual,High school diploma or equivalent,58010
19-1011,Animal Scientists,19,"Life, Physical, and Social Science",0.3202,0.061,0.825,0.1797,0.3571,Medium,actual,Bachelor's degree,3100
19-1012,Food Scientists and Technologists,19,"Life, Physical, and Social Science",0.3853,0.077,0.8075,0.5153,0.3305,Medium,actual,Bachelor's degree,13060
19-1013,Soil and Plant Scientists,19,"Life, Physical, and Social Science",0.393,0.021,0.8308,0.4109,0.6317,Medium,actual,Bachelor's degree,15730
19-1021,Biochemists and Biophysicists,19,"Life, Physical, and Social Science",0.3956,0.027,0.95,0.2103,0.7017,Medium,actual,Doctoral or professional degree,33830
19-1022,Microbiologists,19,"Life, Physical, and Social Science",0.4396,0.012,0.8108,0.5682,0.7899,Medium,actual,Bachelor's degree,18940
19-1023,Zoologists and Wildlife Biologists,19,"Life, Physical, and Social Science",0.5034,0.3,0.7342,0.468,0.7087,Medium,actual,Bachelor's degree,18120
19-1029,"Biological Scientists, All Other",19,"Life, Physical, and Social Science",0.3148,0.015,0.8383,0.117,0.5056,Medium,actual,Bachelor's degree,55850
19-1029,"Biological Scientists, All Other",19,"Life, Physical, and Social Science",0.3219,0.015,0.8667,0.117,0.5056,Medium,actual,Bachelor's degree,55850
19-1029,"Biological Scientists, All Other",19,"Life, Physical, and Social Science",0.3252,0.015,0.88,0.117,0.5056,Medium,actual,Bachelor's degree,55850
19-1029,"Biological Scientists, All Other",19,"Life, Physical, and Social Science",0.3242,0.015,0.8758,0.117,0.5056,Medium,actual,Bachelor's degree,55850
19-1031,Conservation Scientists,19,"Life, Physical, and Social Science",0.3819,0.016,0.8033,0.2284,0.8599,Medium,actual,Bachelor's degree,25950
19-1031,Conservation Scientists,19,"Life, Physical, and Social Science",0.3625,0.016,0.7258,0.2284,0.8599,Medium,actual,Bachelor's degree,25950
19-1031,Conservation Scientists,19,"Life, Physical, and Social Science",0.3444,0.016,0.6533,0.2284,0.8599,Medium,actual,Bachelor's degree,25950
19-1032,Foresters,19,"Life, Physical, and Social Science",0.3146,0.0081,0.7575,0.1699,0.5868,Medium,actual,Bachelor's degree,10430
19-1041,Epidemiologists,19,"Life, Physical, and Social Science",0.3655,0.2,0.8867,0.0167,0.4034,Medium,actual,Master's degree,12090
19-1042,"Medical Scientists, Except Epidemiologists",19,"Life, Physical, and Social Science",0.3191,0.0045,0.7725,0.0557,0.7535,Medium,actual,Doctoral or professional degree,172340
